year,account_code,account_name_en,account_name_ar,account_type,management_group,amount
2017,4001,Workshop Revenue,ايرادات الورشة,Revenue,,582800.0
2017,4002,Other Revenue,ايرادات متنوعة,Revenue,,37200.0
2017,5101,Salaries & Wages,الأجور والرواتب,Expense,employee_costs,222544.24
2017,5102,Housing Allowance,بدل السكن,Expense,employee_costs,30346.94
2017,5103,Vacation Allowance,بدل الإجازة,Expense,employee_costs,18208.17
2017,5104,Employee Medical Insurance,التأمين الطبي للموظفين,Expense,employee_costs,22254.42
2017,5105,GOSI Contributions,الاشتراكات النظامية (التأمينات الاجتماعية),Expense,employee_costs,34393.2
2017,5106,Labor Office Fees,رسوم مكتب العمل,Expense,employee_costs,12138.78
2017,5107,Residency (Iqama) Fees,رسوم الإقامة,Expense,employee_costs,10115.65
2017,5108,End-of-Service Provision,مخصص نهاية الخدمة,Expense,employee_costs,18208.17
2017,5109,Staff Travel & Transport,سفر وانتقالات الموظفين,Expense,employee_costs,8901.77
2017,5110,Overtime & Bonuses,المكافآت والعمل الإضافي,Expense,employee_costs,7283.27
2017,5111,Staff Meals,وجبات الموظفين,Expense,employee_costs,4046.26
2017,5201,Municipality Fees,رسوم البلدية,Expense,government_regulatory_fees,12338.71
2017,5202,Commercial Registration Fees,رسوم السجل التجاري,Expense,government_regulatory_fees,8225.81
2017,5301,Workshop Rent,إيجار الورشة,Expense,occupancy_facilities,46206.69
2017,5302,Electricity,الكهرباء,Expense,occupancy_facilities,12795.7
2017,5303,Water,المياه,Expense,occupancy_facilities,4976.11
2017,5401,Equipment Maintenance,صيانة المعدات,Expense,maintenance_repairs,20564.52
2017,5402,Vehicle Maintenance,صيانة المركبات,Expense,maintenance_repairs,14395.16
2017,5403,Tools Maintenance,صيانة الأدوات,Expense,maintenance_repairs,6169.35
2017,5501,Vehicle Insurance,تأمين المركبات,Expense,insurance,6032.26
2017,5502,Property Insurance,تأمين الممتلكات,Expense,insurance,4021.51
2017,5601,Bank Charges,رسوم بنكية,Expense,administrative_professional,4700.46
2017,5602,Legal & Accounting Fees,أتعاب قانونية ومحاسبية,Expense,administrative_professional,11751.15
2017,5603,Office Supplies,قرطاسية ومطبوعات,Expense,administrative_professional,5092.17
2017,5604,Telephone & Internet,هاتف وإنترنت,Expense,administrative_professional,5875.58
2017,5701,Advertising & Promotion,الدعاية والإعلان,Expense,marketing_advertising,10053.76
2017,5801,Workshop Supplies,مستلزمات الورشة,Expense,operating_supplies,20107.53
2017,5802,Safety Equipment,معدات السلامة,Expense,operating_supplies,6032.26
2017,5803,Fuel & Lubricants,وقود وزيوت,Expense,operating_supplies,14075.27
2017,5804,Packaging Materials,مواد تغليف,Expense,operating_supplies,5026.88
2017,5805,Freight & Shipping,نقل وشحن,Expense,operating_supplies,5026.88
2017,5901,Depreciation - Equipment,إهلاك المعدات,Expense,depreciation,10282.26
2017,5902,Depreciation - Vehicles,إهلاك المركبات,Expense,depreciation,6169.35
2017,5903,Depreciation - Furniture,إهلاك الأثاث,Expense,depreciation,4112.9
2017,6001,Cost of Goods Sold,تكلفة البضاعة المباعة,Expense,cogs,31989.25
2017,6101,Fines & Penalties,غرامات وجزاءات,Expense,fines_penalties,3198.92
2017,6201,Zakat,الزكاة,Expense,zakat,5483.87
2017,6301,Miscellaneous Expenses,مصروفات متنوعة,Expense,other_discounts,4112.9
2017,6302,Discounts Allowed,خصومات مسموح بها,Expense,other_discounts,2741.94
2018,4001,Workshop Revenue,ايرادات الورشة,Revenue,,648600.0
2018,4002,Other Revenue,ايرادات متنوعة,Revenue,,41400.0
2018,5101,Salaries & Wages,الأجور والرواتب,Expense,employee_costs,233998.73
2018,5102,Housing Allowance,بدل السكن,Expense,employee_costs,31908.92
